C to C,Start Corner,End Corner,Start Corner X-coordinate,Start Corner Y-coordinate,End Corner X-coordinate,End Corner Y-coordinate,Distance (mm)
C14C13,C14,C13,1,77,1,37,35100
C24C23,C24,C23,4,77,4,37,35100
C34C33,C34,C33,5,77,5,37,35100
C44C43,C44,C43,8,77,8,37,35100
C54C53,C54,C53,9,77,9,37,35100
C64C63,C64,C63,12,77,12,37,35100
C74C73,C74,C73,13,77,13,37,35100
C84C83,C84,C83,16,77,16,37,35100
C94C93,C94,C93,17,77,17,37,35100
C104C103,C104,C103,20,77,20,37,35100
C114C113,C114,C113,21,77,21,37,35100
C124C123,C124,C123,24,77,24,37,35100
C134C133,C134,C133,25,77,25,37,35100
C144C143,C144,C143,28,77,28,37,35100
C154C153,C154,C153,29,77,29,37,35100
C164C163,C164,C163,31,77,31,37,35100
C13C14,C13,C14,1,37,1,77,35100
C23C24,C23,C24,4,37,4,77,35100
C33C34,C33,C34,5,37,5,77,35100
C43C44,C43,C44,8,37,8,77,35100
C53C54,C53,C54,9,37,9,77,35100
C63C64,C63,C64,12,37,12,77,35100
C73C74,C73,C74,13,37,13,77,35100
C83C84,C83,C84,16,37,16,77,35100
C93C94,C93,C94,17,37,17,77,35100
C103C104,C103,C104,20,37,20,77,35100
C113C114,C113,C114,21,37,21,77,35100
C123C124,C123,C124,24,37,24,77,35100
C133C134,C133,C134,25,37,25,77,35100
C143C144,C143,C144,28,37,28,77,35100
C153C154,C153,C154,29,37,29,77,35100
C163C164,C163,C164,31,37,31,77,35100
C12C11,C12,C11,1,35,1,1,29700
C22C21,C22,C21,4,35,4,1,29700
C32C31,C32,C31,5,35,5,1,29700
C42C41,C42,C41,8,35,8,1,29700
C52C51,C52,C51,9,35,9,1,29700
C62C61,C62,C61,12,35,12,1,29700
C72C71,C72,C71,13,35,13,1,29700
C82C81,C82,C81,16,35,16,1,29700
C92C91,C92,C91,17,35,17,1,29700
C102C101,C102,C101,20,35,20,1,29700
C112C111,C112,C111,21,35,21,1,29700
C122C121,C122,C121,24,35,24,1,29700
C132C131,C132,C131,25,35,25,1,29700
C142C141,C142,C141,28,35,28,1,29700
C152C151,C152,C151,29,35,29,1,29700
C162C161,C162,C161,31,35,31,1,29700
C11C12,C11,C12,1,1,1,35,29700
C21C22,C21,C22,4,1,4,35,29700
C31C32,C31,C32,5,1,5,35,29700
C41C42,C41,C42,8,1,8,35,29700
C51C52,C51,C52,9,1,9,35,29700
C61C62,C61,C62,12,1,12,35,29700
C71C72,C71,C72,13,1,13,35,29700
C81C82,C81,C82,16,1,16,35,29700
C91C92,C91,C92,17,1,17,35,29700
C101C102,C101,C102,20,1,20,35,29700
C111C112,C111,C112,21,1,21,35,29700
C121C122,C121,C122,24,1,24,35,29700
C131C132,C131,C132,25,1,25,35,29700
C141C142,C141,C142,28,1,28,35,29700
C151C152,C151,C152,29,1,29,35,29700
C161C162,C161,C162,31,1,31,35,29700
C21C11,C21,C11,4,1,1,1,2300
C11C21,C11,C21,1,1,4,1,2300
C41C31,C41,C31,8,1,5,1,2300
C31C41,C31,C41,5,1,8,1,2300
C61C51,C61,C51,12,1,9,1,2300
C51C61,C51,C61,9,1,12,1,2300
C81C71,C81,C71,16,1,13,1,2300
C71C81,C71,C81,13,1,16,1,2300
C101C91,C101,C91,20,1,17,1,2300
C91C101,C91,C101,17,1,20,1,2300
C121C111,C121,C111,24,1,21,1,2300
C111C121,C111,C121,21,1,24,1,2300
C141C131,C141,C131,28,1,25,1,2300
C131C141,C131,C141,25,1,28,1,2300
C22C12,C22,C12,4,35,1,35,2300
C12C22,C12,C22,1,35,4,35,2300
C42C32,C42,C32,8,35,5,35,2300
C32C42,C32,C42,5,35,8,35,2300
C62C52,C62,C52,12,35,9,35,2300
C52C62,C52,C62,9,35,12,35,2300
C82C72,C82,C72,16,35,13,35,2300
C72C82,C72,C82,13,35,16,35,2300
C102C92,C102,C92,20,35,17,35,2300
C92C102,C92,C102,17,35,20,35,2300
C122C112,C122,C112,24,35,21,35,2300
C112C122,C112,C122,21,35,24,35,2300
C142C132,C142,C132,28,35,25,35,2300
C132C142,C132,C142,25,35,28,35,2300
C23C13,C23,C13,4,37,1,37,2300
C13C23,C13,C23,1,37,4,37,2300
C43C33,C43,C33,8,37,5,37,2300
C33C43,C33,C43,5,37,8,37,2300
C63C53,C63,C53,12,37,9,37,2300
C53C63,C53,C63,9,37,12,37,2300
C83C73,C83,C73,16,37,13,37,2300
C73C83,C73,C83,13,37,16,37,2300
C103C93,C103,C93,20,37,17,37,2300
C93C103,C93,C103,17,37,20,37,2300
C123C113,C123,C113,24,37,21,37,2300
C113C123,C113,C123,21,37,24,37,2300
C143C133,C143,C133,28,37,25,37,2300
C133C143,C133,C143,25,37,28,37,2300
C24C14,C24,C14,4,77,1,77,2300
C14C24,C14,C24,1,77,4,77,2300
C44C34,C44,C34,8,77,5,77,2300
C34C44,C34,C44,5,77,8,77,2300
C64C54,C64,C54,12,77,9,77,2300
C54C64,C54,C64,9,77,12,77,2300
C84C74,C84,C74,16,77,13,77,2300
C74C84,C74,C84,13,77,16,77,2300
C104C94,C104,C94,20,77,17,77,2300
C94C104,C94,C104,17,77,20,77,2300
C124C114,C124,C114,24,77,21,77,2300
C114C124,C114,C124,21,77,24,77,2300
C144C134,C144,C134,28,77,25,77,2300
C134C144,C134,C144,25,77,28,77,2300
C31C21,C31,C21,5,1,4,1,1700
C21C31,C21,C31,4,1,5,1,1700
C51C41,C51,C41,9,1,8,1,1700
C41C51,C41,C51,8,1,9,1,1700
C71C61,C71,C61,13,1,12,1,1700
C61C71,C61,C71,12,1,13,1,1700
C91C81,C91,C81,17,1,16,1,1700
C81C91,C81,C91,16,1,17,1,1700
C111C101,C111,C101,21,1,20,1,1700
C101C111,C101,C111,20,1,21,1,1700
C131C121,C131,C121,25,1,24,1,1700
C121C131,C121,C131,24,1,25,1,1700
C151C141,C151,C141,29,1,28,1,1700
C141C151,C141,C151,28,1,29,1,1700
C32C22,C32,C22,5,35,4,35,1700
C22C32,C22,C32,4,35,5,35,1700
C52C42,C52,C42,9,35,8,35,1700
C42C52,C42,C52,8,35,9,35,1700
C72C62,C72,C62,13,35,12,35,1700
C62C72,C62,C72,12,35,13,35,1700
C92C82,C92,C82,17,35,16,35,1700
C82C92,C82,C92,16,35,17,35,1700
C112C102,C112,C102,21,35,20,35,1700
C102C112,C102,C112,20,35,21,35,1700
C132C122,C132,C122,25,35,24,35,1700
C122C132,C122,C132,24,35,25,35,1700
C152C142,C152,C142,29,35,28,35,1700
C142C152,C142,C152,28,35,29,35,1700
C33C23,C33,C23,5,37,4,37,1700
C23C33,C23,C33,4,37,5,37,1700
C53C43,C53,C43,9,37,8,37,1700
C43C53,C43,C53,8,37,9,37,1700
C73C63,C73,C63,13,37,12,37,1700
C63C73,C63,C73,12,37,13,37,1700
C93C83,C93,C83,17,37,16,37,1700
C83C93,C83,C93,16,37,17,37,1700
C113C103,C113,C103,21,37,20,37,1700
C103C113,C103,C113,20,37,21,37,1700
C133C123,C133,C123,25,37,24,37,1700
C123C133,C123,C133,24,37,25,37,1700
C153C143,C153,C143,29,37,28,37,1700
C143C153,C143,C153,28,37,29,37,1700
C34C24,C34,C24,5,77,4,77,1700
C24C34,C24,C34,4,77,5,77,1700
C54C44,C54,C44,9,77,8,77,1700
C44C54,C44,C54,8,77,9,77,1700
C74C64,C74,C64,13,77,12,77,1700
C64C74,C64,C74,12,77,13,77,1700
C94C84,C94,C84,17,77,16,77,1700
C84C94,C84,C94,16,77,17,77,1700
C114C104,C114,C104,21,77,20,77,1700
C104C114,C104,C114,20,77,21,77,1700
C134C124,C134,C124,25,77,24,77,1700
C124C134,C124,C134,24,77,25,77,1700
C154C144,C154,C144,29,77,28,77,1700
C144C154,C144,C154,28,77,29,77,1700
C161C151,C161,C151,31,1,29,1,1150
C151C161,C151,C161,29,1,31,1,1150
C162C152,C162,C152,31,35,29,35,1150
C152C162,C152,C162,29,35,31,35,1150
C163C153,C163,C153,31,37,29,37,1150
C153C163,C153,C163,29,37,31,37,1150
C164C154,C164,C154,31,77,29,77,1150
C154C164,C154,C164,29,77,31,77,1150
C13C12,C13,C12,1,37,1,35,900
C23C22,C23,C22,4,37,4,35,900
C33C32,C33,C32,5,37,5,35,900
C43C42,C43,C42,8,37,8,35,900
C53C52,C53,C52,9,37,9,35,900
C63C62,C63,C62,12,37,12,35,900
C73C72,C73,C72,13,37,13,35,900
C83C82,C83,C82,16,37,16,35,900
C93C92,C93,C92,17,37,17,35,900
C103C102,C103,C102,20,37,20,35,900
C113C112,C113,C112,21,37,21,35,900
C123C122,C123,C122,24,37,24,35,900
C133C132,C133,C132,25,37,25,35,900
C143C142,C143,C142,28,37,28,35,900
C153C152,C153,C152,29,37,29,35,900
C163C162,C163,C162,31,37,31,35,900
C12C13,C12,C13,1,35,1,37,900
C22C23,C22,C23,4,35,4,37,900
C32C33,C32,C33,5,35,5,37,900
C42C43,C42,C43,8,35,8,37,900
C52C53,C52,C53,9,35,9,37,900
C62C63,C62,C63,12,35,12,37,900
C72C73,C72,C73,13,35,13,37,900
C82C83,C82,C83,16,35,16,37,900
C92C93,C92,C93,17,35,17,37,900
C102C103,C102,C103,20,35,20,37,900
C112C113,C112,C113,21,35,21,37,900
C122C123,C122,C123,24,35,24,37,900
C132C133,C132,C133,25,35,25,37,900
C142C143,C142,C143,28,35,28,37,900
C152C153,C152,C153,29,35,29,37,900
C162C163,C162,C163,31,35,31,37,900
